iteration,pixels allowed
  0,        1
  1,871311010
  2,871397965
  3,871450740
  4,871517281
  5,871554192
  6,871586448
  7,871615095
  8,871651803
  9,871678334
 10,871703081
 11,871730244
 12,871754897
 13,871775208
 14,871800808
 15,871819929
 16,871840351
 17,871858092
 18,871875040
 19,871892817
 20,871909334
 21,871926908
 22,871944216
 23,871960062
 24,871975571
 25,871990777
 26,872006234
 27,872022003
 28,872036449
 29,872050629
 30,872064399
 31,872077837
 32,872091227
 33,872104394
 34,872117367
 35,872130035
 36,872142524
 37,872155162
 38,872167575
 39,872179656
 40,872191881
 41,872204132
 42,872215878
 43,872227528
 44,872239121
 45,872250580
 46,872261968
 47,872273196
 48,872284408
 49,872295523
 50,872306527
 51,872317430
 52,872328389
 53,872339172
 54,872349867
 55,872363112
 56,872373624
 57,872384014
 58,872394287
 59,872404633
 60,872414817
 61,872424996
 62,872435038
 63,872445377
 64,872455269
 65,872465087
 66,872474917
 67,872484854
 68,872494505
 69,872504702
 70,872514196
 71,872523607
 72,872533354
 73,872542642
 74,872551855
 75,872560977
 76,872570052
 77,872579097
 78,872588317
 79,872597260
 80,872606158
 81,872615033
 82,872623698
 83,872632407
 84,872641026
 85,872649615
 86,872658184
 87,872666614
 88,872675002
 89,872683326
 90,872691559
 91,872699728
 92,872707815
 93,872715851
 94,872723888
 95,872731871
 96,872739761
 97,872747945
 98,872755766
 99,872763581
100,872771295
101,872778966
102,872786485
103,872794026
104,872801475
105,872809039
106,872816529
107,872823978
108,872831381
109,872838746
110,872846063
111,872853370
112,872860586
113,872867798
114,872874927
115,872881985
116,872888987
117,872895950
118,872902865
119,872909710
120,872916483
121,872923202
122,872929826
123,872936404
124,872942900
125,872949372
126,872955775
127,872962183
128,872968505
129,872975028
130,872981312
131,872987560
132,872993713
133,872999792
134,873005869
135,873011870
136,873017829
137,873023752
138,873029664
139,873035516
140,873041332
141,873047104
142,873052807
143,873058468
144,873064084
145,873069694
146,873075214
147,873080707
148,873086357
149,873091829
150,873097270
151,873102680
152,873108047
153,873113398
154,873118712
155,873123989
156,873129244
157,873134446
158,873139635
159,873144739
160,873149794
161,873154770
162,873159697
163,873164523
164,873169289
165,873173972
166,873178651
167,873183244
168,873187800
169,873192353
170,873196835
171,873201263
172,873205696
173,873210057
174,873214797
175,873219131
176,873223369
177,873227580
178,873231947
179,873236159
180,873240310
181,873244491
182,873248615
183,873252706
184,873256753
185,873260893
186,873264886
187,873268854
188,873272829
189,873276780
190,873280740
191,873284697
192,873288618
193,873292515
194,873296414
195,873300267
196,873304077
197,873307868
198,873311659
199,873315433
200,873319127
